category_name,tags
airfield,outdoor
airplane_cabin,indoor
airport_terminal,indoor
alcove,indoor
alley,outdoor
amphitheater,outdoor
amusement_arcade,indoor
amusement_park,outdoor
apartment_building-outdoor,outdoor
aquarium,indoor
aqueduct,nature
arcade,indoor
arch,outdoor
archaelogical_excavation,outdoor
archive,indoor
arena-hockey,indoor
arena-performance,indoor
arena-rodeo,outdoor
army_base,outdoor
art_gallery,indoor
art_school,indoor
art_studio,indoor
artists_loft,indoor
assembly_line,indoor
athletic_field-outdoor,outdoor
atrium-public,indoor
attic,indoor
auditorium,indoor
auto_factory,indoor
auto_showroom,indoor
badlands,nature
bakery-shop,indoor
balcony-exterior,outdoor
balcony-interior,indoor
ball_pit,indoor
ballroom,indoor
bamboo_forest,nature
bank_vault,indoor
banquet_hall,indoor
bar,indoor
barn,outdoor
barndoor,outdoor
baseball_field,outdoor
basement,indoor
basketball_court-indoor,indoor
bathroom,indoor
bazaar-indoor,indoor
bazaar-outdoor,outdoor
beach,nature
beach_house,outdoor
beauty_salon,indoor
bedchamber,indoor
bedroom,indoor
beer_garden,outdoor
beer_hall,indoor
berth,indoor
biology_laboratory,indoor
boardwalk,nature
boat_deck,outdoor
boathouse,nature
bookstore,indoor
booth-indoor,indoor
botanical_garden,nature
bow_window-indoor,indoor
bowling_alley,indoor
boxing_ring,indoor
bridge,outdoor
building_facade,outdoor
bullring,outdoor
burial_chamber,indoor
bus_interior,indoor
bus_station-indoor,indoor
butchers_shop,indoor
butte,nature
cabin-outdoor,nature
cafeteria,indoor
campsite,nature
campus,outdoor
canal-natural,nature
canal-urban,outdoor
candy_store,indoor
canyon,nature
car_interior,indoor
carrousel,outdoor
castle,outdoor
catacomb,outdoor
cemetery,outdoor
chalet,outdoor
chemistry_lab,indoor
childs_room,indoor
church-indoor,indoor
church-outdoor,outdoor
classroom,indoor
clean_room,indoor
cliff,nature
closet,indoor
clothing_store,indoor
coast,nature
cockpit,indoor
coffee_shop,indoor
computer_room,indoor
conference_center,indoor
conference_room,indoor
construction_site,outdoor
corn_field,nature
corral,outdoor
corridor,indoor
cottage,outdoor
courthouse,outdoor
courtyard,outdoor
creek,nature
crevasse,nature
crosswalk,outdoor
dam,nature
delicatessen,indoor
department_store,indoor
desert-sand,nature
desert-vegetation,nature
desert_road,nature
diner-outdoor,outdoor
dining_hall,indoor
dining_room,indoor
discotheque,indoor
doorway-outdoor,indoor
dorm_room,indoor
